Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
SE,22/02/2019,08:27:19,MUN,Mount,7K4,NA,,,,,R,NA,UN,NA,"Act 101-011 
Rec white scraps right side of face. Right ear 111 and left damaged bleed. Left flank scar. ",No Value,No Value,No Value,0
SE,22/02/2019,08:56:33,MUN,Mount,FUN,NA,,,,,R,NA,NA,NA,Skull face act,No Value,No Value,No Value,0
SE,22/02/2019,10:43:34,9K9,Submission,1F2,NA,,,,,R,NA,NA,NA,,No Value,No Value,No Value,0
SE,22/02/2019,11:03:56,MUN,Mount,MUN,NA,,,,,R,NA,NA,NA,Rec Skull/teeth face,No Value,No Value,No Value,0
SE,22/02/2019,11:11:53,33T,Mount,FUN,NA,,,,,CoAgg,NA,NA,NA,"Retroactive ID 21 MAY 19. Agg over water 
Act stumpy tail 011-011 ",No Value,No Value,No Value,0
SE,22/02/2019,11:52:22,8M1,Mount,SAMUN,NA,,,,,R,2Erection,NA,NA,"8M1? rec
",No Value,No Value,No Value,0
SE,22/02/2019,11:54:39,SAMUN,SelfStim,MUN,NA,,,,,Grm,RErection,NA,Ejac,"Same juv as mount prior
Rec eats own ejac",No Value,No Value,No Value,0
SE,22/02/2019,11:55:48,9K9,Mount,FUN,NA,,,,,Grm,NoErection,NA,NA,,No Value,No Value,No Value,0
SE,22/02/2019,11:59:23,9K9,Mount,FUN,NA,,,,,Grm,Erection,NA,NA,,No Value,No Value,No Value,0
SE,25/02/2019,08:03:14,MUN,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,000-001?,No Value,No Value,No Value,0
JC,25/02/2019,08:22:38,7G9,Submission,97V,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,25/02/2019,09:13:35,5G2,Aggression,76Z,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,25/02/2019,09:37:30,7G9,Submission,5G2,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
JC,25/02/2019,09:58:24,5P8,Mount,FUN,NA,,,,,R,Erection,UN,NoEjac,,0,2,No Value,0
JC,25/02/2019,09:59:20,5P8,Mount,FUN,NA,,,,,CoaggObs,Erection,Intro,NoEjac,,0,2,No Value,0
JC,25/02/2019,10:02:00,5P8,Mount,FUN,NA,,,,,R,Erection,Intro,UN,,2,4,No Value,0
SE,25/02/2019,10:15:30,JVMUN,Mount,JVUN,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,25/02/2019,10:28:07,1U9,GenStim,5U6,NA,,,,,Grm,RErection,NA,NoEjac,Fellation,No Value,No Value,No Value,0
SE,25/02/2019,10:33:22,MUN,Mount,5K8,NA,,,,,NA,NA,NA,NA,,No Value,No Value,No Value,0
SE,25/02/2019,12:30:17,12O,SelfStim,JVUN,NA,,,,,Grm,Erection,NA,NA,Masturbate after getting an erection from grooming juv,No Value,No Value,No Value,0
SE,25/02/2019,12:36:30,5K8,SelfStim,,NA,,,,,R,Erection,NA,Ejac,An MUN ate the semen,No Value,No Value,No Value,0
SE,25/02/2019,12:39:55,MUN,Mount,SAMUN,NA,,,,,Grm,Erection,Intro,Ejac,"Act 011-110
Rec 100-000?",No Value,No Value,No Value,0
SE,25/02/2019,12:40:27,MUN,Mount,SAMUN,NA,,,,,Grm,Erection,Intro,NA,"Same 2
Act 011-110
Rec 100-000?",No Value,No Value,No Value,0
SE,25/02/2019,12:41:12,MUN,Mount,SAMUN,NA,,,,,R,Erection,Intro,NA,"Same 2
Act 011-110
Rec 100-000?",No Value,No Value,No Value,0
SE,25/02/2019,12:42:43,MUN,Mount,SAMUN,NA,,,,,R,Erection,Intro,NA,"Same 2
Act 011-110
Rec 100-000? Plug",No Value,No Value,No Value,0
SE,25/02/2019,12:57:44,33T,Mount,MUN,NA,,,,,CoAgg,NA,NA,NA,Act 011-half missing,No Value,No Value,No Value,0
SE,25/02/2019,13:00:18,MUN,Mount,FUN,NA,,,,,R,NA,NA,NA,Mother with baby,No Value,No Value,No Value,0
SE,25/02/2019,13:05:12,2N2,SelfStim,,NA,,,,,R,Erection,NA,NA,"Blonde
100-111",No Value,No Value,No Value,0
JC,25/02/2019,13:05:23,6V1,Mount,JVMUN,NA,,,,,R,NoErection,NA,NA,,2,5,No Value,0
JC,25/02/2019,13:13:13,5V7,Mount,FUN,NA,,,,,Grm,UN,NA,NA,,7,12,No Value,0
JC,25/02/2019,13:15:42,5V7,Mount,FUN,NA,,,,,Grm,UN,NA,NA,,7,12,No Value,0
SE,25/02/2019,13:26:18,9M5,SelfStim,,NA,,,,,R,Erection,NA,NoEjac,,No Value,No Value,No Value,0
