AnimalID,DOB,Season,Age,Sex,Group,BehaviorMoM,Evento,ngroup,TransFer,Death,EventDate,Status,Asterisk
3,01/01/1954,<=2013,65.08,f,U,?,nCC,CC,12/16/1968,,01/01/1960,Remove,-
4,01/01/1955,<=2013,64.08,f,U,?,nF,F,,16-Jan-79,01/01/1960,Dead,
5,01/01/1955,<=2013,64.08,m,U,?,C,C,,02-Oct-62,10/01/1961,Dead,
6,01/01/1955,<=2013,64.08,m,U,?,nC,nC,,01-Mar-63,01/01/1960,Dead,
7,01/01/1955,<=2013,64.08,f,U,?,nK,nK,12/22/1971,,11/10/1969,Remove,
8,01/01/1955,<=2013,64.08,m,U,?,C,C,,10-Jun-66,9/21/1964,Dead,
9,01/01/1955,<=2013,64.08,m,U,?,,U,,01-Jun-56,,Dead,
00A,2/16/1992,<=2013,27,m,R,971,F,F,02/05/2002,,07/08/1999,Remove,
00B,01/12/1993,<=2013,26.08,f,F,E65,L,L,2/22/2002,,09/01/2000,Remove,
00C,12/25/1993,<=2013,25.17,m,F,O54,,F,,23-Jul-97,,Dead,
00D,1/20/1995,<=2013,24.08,m,R,S54,,R,1/29/1997,,,Remove,
00E,2/23/1995,<=2013,24,m,R,V61,R,R,1/17/1997,,11/12/1996,Remove,
00F,2/20/1996,<=2013,23,f,F,R64,L,L,1/29/2002,,12/01/2001,Remove,
00G,12/30/1996,<=2013,22.17,m,F,57A,,F,1/26/1999,,,Remove,
00H,2/13/1997,<=2013,22,m,S,I56,,S,1/21/1999,,,Remove,
00I,1/16/1998,<=2013,21.08,m,V,T98,,V,,01-Feb-01,,Dead,
00J,4/13/1998,<=2013,20.83,f,F,I88,F,F,,23-Feb-17,01/01/2014,Dead,
00K,12/15/1998,<=2013,20.17,m,V,T98,BB,BB,2/20/2004,,05/06/2003,Remove,
00L,02/01/1999,<=2013,20,m,S,S37,,S,,24-Apr-00,,Dead,
00N,1/20/2000,<=2013,19.08,f,F,93D,,F,1/17/2002,,,Remove,
00O,12/01/1999,<=2013,19.17,f,F,90D,,F,,19-Dec-18,,Dead,
00P,12/20/2000,<=2013,18.17,f,F,62H,,F,1/22/2003,,,Remove,
00R,3/15/2002,<=2013,16.92,f,V,13B,,V,1/29/2004,,,Remove,
00S,11/07/2001,<=2013,17.25,m,S,36D,,S,1/30/2004,,,Remove,
00T,12/12/2002,<=2013,16.17,f,R,30D,,R,2/14/2006,,,Remove,
00V,12/14/2003,<=2013,15.17,F,V,30J,,V,,,,IN CS,
00Z,11/05/2003,<=2013,15.25,m,R,X37,,R,02/10/2006,,,Remove,
10,01/01/1955,<=2013,64.08,f,U,?,nC,nC,,24-Feb-64,01/01/1960,Dead,
11,01/01/1951,<=2013,68.08,f,U,?,nA,nA,,25-Nov-63,01/01/1960,Dead,
12,01/01/1951,<=2013,68.08,f,U,?,nA,nA,,03-Aug-66,01/01/1960,Dead,
