OBS,DATE,TIME,ID,ACTION,M,F,SAM,JV
JC,05/03/2019,08:00:00,7U9,CF,0,0,0,0
JC,05/03/2019,08:00:00,5K5,CF,0,0,0,0
JC,05/03/2019,08:10:00,5G2,F,0,0,0,0
JC,05/03/2019,08:20:00,5P8,T,0,0,0,0
JC,05/03/2019,08:20:00,4U2,R,0,0,0,0
JC,05/03/2019,08:30:00,3I3,CF,0,0,0,0
JC,05/03/2019,08:40:00,5P8,R,0,0,0,0
JC,05/03/2019,08:40:57,5B2,CF,0,0,0,0
JC,05/03/2019,08:50:00,5K5,CF,0,0,0,0
JC,05/03/2019,09:00:00,4L9,CF,0,0,0,0
JC,05/03/2019,09:10:00,7D2,NA,0,0,0,0
JC,05/03/2019,09:10:00,5B2,CF,0,0,0,0
JC,05/03/2019,09:20:00,2M3,R,0,0,0,0
JC,05/03/2019,09:30:00,97V,R,0,0,0,0
JC,05/03/2019,09:40:00,2Q9,CF,0,0,0,0
JC,05/03/2019,09:40:00,30Z,CF,0,0,0,0
JC,05/03/2019,09:50:00,3K4,CF,0,0,0,0
JC,05/03/2019,10:00:00,44T,CF,0,0,0,0
JC,05/03/2019,10:00:00,7Q8,F,0,0,0,0
JC,05/03/2019,10:10:00,,NA,0,0,0,0
JC,05/03/2019,10:20:00,,NA,0,0,0,0
JC,05/03/2019,10:30:09,5L1,F,0,0,0,0
JC,05/03/2019,10:40:00,3I3,CF,0,0,0,0
JC,06/03/2019,07:40:00,5B2,T,0,0,0,0
JC,06/03/2019,07:50:45,4I8,T,0,0,0,0
JC,06/03/2019,08:00:00,5R4,S,0,0,0,0
JC,06/03/2019,08:10:19,30L,T,0,0,0,0
JC,06/03/2019,08:20:00,2M3,CF,0,0,0,0
JC,06/03/2019,08:30:00,,NA,0,0,0,0
JC,06/03/2019,08:40:00,1T4,T,0,0,0,0
JC,06/03/2019,08:50:00,3I3,CF,0,0,0,0
JC,06/03/2019,08:50:00,4D3,CF,0,0,0,0
JC,06/03/2019,09:00:23,5D1,T,0,0,0,0
JC,06/03/2019,09:10:00,2I0,R,0,0,0,0
JC,06/03/2019,09:20:00,5L1,CF,0,0,0,0
JC,06/03/2019,09:30:00,9C8,F,0,0,0,0
JC,06/03/2019,09:40:00,4L9,T,0,0,0,0
JC,06/03/2019,09:50:00,4P8,CF,0,0,0,0
JC,06/03/2019,09:50:00,2Q9,T,0,0,0,0
JC,06/03/2019,10:00:00,7U9,CF,0,0,0,0
JC,06/03/2019,10:10:00,3R8,CF,0,0,0,0
JC,06/03/2019,10:10:00,3K4,CF,0,0,0,0
JC,06/03/2019,10:30:03,7J0,CF,0,0,0,0
JC,06/03/2019,10:40:00,5B2,R,0,0,0,0
JC,06/03/2019,10:50:00,8S6,T,0,0,0,0
JC,06/03/2019,11:00:00,3L7,F,0,0,0,0
JC,06/03/2019,12:20:00,5N5,R,0,0,0,0
JC,06/03/2019,12:30:42,4L9,S,0,0,0,0
JC,06/03/2019,12:40:00,4D3,S,0,0,0,0
JC,06/03/2019,12:50:00,3K4,S,0,0,0,0
JC,06/03/2019,13:00:00,97V,S,0,0,0,0
JC,06/03/2019,13:10:00,8D6,R,0,0,0,0
JC,06/03/2019,13:20:00,5G2,R,0,0,0,0
JC,06/03/2019,13:30:29,7S3,R,0,0,0,0
JC,06/03/2019,13:46:00,4D3,R,0,0,0,0
JC,06/03/2019,13:50:00,7H9,S,0,0,0,0
JC,06/03/2019,14:00:00,88T,R,0,0,0,0
